software,main_version,listening,est_unreachable,total_count,percent
Bitcoin Core,v29,1599,24071,25670,25.650505615732044
Bitcoin Core,v28,1031,17098,18129,18.11523242335825
Bitcoin Core,v27,1935,13853,15788,15.776010232223511
Bitcoin Knots,v28,336,8992,9328,9.32091610376114
Bitcoin Core,v25,807,4687,5494,5.489827730924497
other (excluded),unknown,0,4522,4522,4.518565889923658
Bitcoin Knots,v29,427,4059,4486,4.482593229145849
bitcoinj / wallets,unknown,0,3600,3600,3.597266077780886
Bitcoin Core,v22,108,3067,3175,3.1725888324873095
Bitcoin Core,v26,129,2834,2963,2.9607498301291018
Bitcoin Core,v0.21,50,2040,2090,2.088412806267237
Bitcoin Core,v24,113,1223,1336,1.3349854110875736
Bitcoin Core,v23,50,658,708,0.707462328630241
Bitcoin Core,v0.20,20,307,327,0.32675166873176387
Bither,unknown,0,249,249,0.248810903713178
btcsuite,unknown,12,224,236,0.23582077621008032
Bitcoin Core,v0.18,17,198,215,0.21483672408969182
Bitcoin Core,v0.16,3,174,177,0.17686558215756026
Bitcoin Core,v0.15,2,168,170,0.16987089811743075
Bitcoin Knots,v27,12,142,154,0.15388304888284904
Bitcoin Core,v0.17,11,140,151,0.15088532715136496
Bitcoin Core,v0.19,8,139,147,0.14688836484271955
Bitcoin Core,v0.0,0,136,136,0.1358967184939446
Bitcoin Core,v0.14,0,120,120,0.11990886925936288
Bitcoin Core,v0.7,1,95,96,0.09592709540749031
Bitcoin Core,v0.8,7,76,83,0.08293696790439266
Bitcoin Core,v30,32,44,76,0.07594228386426316
bread,unknown,0,73,73,0.07294456213277908
Bitcoin Core,v0.13,3,66,69,0.06894759982413365
Bitcoin Core,v0.11,1,50,51,0.050961269435229224
Bitcoin Core,v0.12,4,41,45,0.04496582597226108
Bitcoin Knots,v26,1,28,29,0.02897797673767936
Bitcoin Core,v0.9,3,22,25,0.024981014429033933
Bitcoin Knots,v23,0,23,23,0.02298253327471122
Bitcoin Classic,unknown,1,20,21,0.020984052120388504
Bitcoin Core,v0.1,0,20,20,0.019984811543227145
Bitcoin Knots,v0.15,0,19,19,0.01898557096606579
Bitcoin Core,v0.10,0,17,17,0.016987089811743076
Bitcoin Unlimited,unknown,1,10,11,0.010991646348774932
Bitcoin Knots,v0.14,0,10,10,0.009992405771613573
btcsuite,v25,0,10,10,0.009992405771613573
Bitcoin Core,v21,1,6,7,0.006994684040129502
other,unknown,4,2,6,0.005995443462968144
Bitcoin Core,v1,2,2,4,0.003996962308645429
Bitcoin Knots,v22,0,2,2,0.0019984811543227146
Bitcoin Knots,v25,2,0,2,0.0019984811543227146
other (excluded),v0.14,0,2,2,0.0019984811543227146
Bitcoin Core,v2,0,1,1,0.0009992405771613573
Bitcoin Knots,v21,0,1,1,0.0009992405771613573
Bitcoin Core,v0.6,0,1,1,0.0009992405771613573
Bitcoin Core,v0.47,0,1,1,0.0009992405771613573
