period,period_start_height,period_end_height,status,signal_blocks,elapsed_blocks
1,927360,929375,completed,0,2016
2,929376,931391,completed,0,2016
3,931392,933407,completed,0,2016
4,933408,935423,completed,0,2016
5,935424,937439,completed,0,2016
6,937440,939455,completed,1,2016
7,939456,941471,in_progress,0,1334
8,941472,943487,future,0,0
9,943488,945503,future,0,0
10,945504,947519,future,0,0
11,947520,949535,future,0,0
12,949536,951551,future,0,0
13,951552,953567,future,0,0
14,953568,955583,future,0,0
15,955584,957599,future,0,0
16,957600,959615,future,0,0
17,959616,961631,future,0,0
18,961632,963647,future,0,0
19,,,post_window,0,0
20,,,post_window,0,0
